16.9,1,8.45,0,8,0,79
5.7,2,1.39,0,39,50,92
5.3,1,2.0,0,43,70,19
12.1,1,3.79,0,21,47,91
16.5,1,4.16,0,24,19,92
9.0,1,1.25,0,31,47,68
5.3,1,1.37,1,16,68,68
5.5,3,0.0,0,20,1,1
7.0,1,2.02,0,22,47,0
7.7,2,1.67,0,38,60,47
12.5,1,2.61,0,3,50,68
5.3,1,1.51,0,30,68,47
4.0,1,0.4,1,37,28,28
10.5,1,1.69,0,10,28,50
4.5,1,0.92,0,24,50,50
4.9,1,1.4,0,10,60,68
7.3,3,2.53,0,30,92,50
6.5,1,0.0,0,4,1,1
9.3,1,4.07,0,13,45,47
4.5,2,0.81,1,39,68,68
22.54,1,6.7,1,25,0,94
31.9,3,9.4,0,38,37,50
18.1,1,7.15,0,32,68,94
58.0,1,12.78,1,6,68,59
5.3,1,0.95,0,48,92,60
9.0,6,2.34,1,33,70,91
8.1,1,1.64,0,7,28,50
10.9,2,5.01,1,48,47,50
12.1,1,5.46,0,37,68,19
5.3,1,0.95,0,0,60,68
4.5,1,0.99,0,14,28,92
3.3,1,0.46,0,34,50,50
9.0,1,1.65,0,10,68,92
9.7,1,2.5,0,35,68,91
8.0,1,2.29,0,49,79,50
7.5,1,0.21,1,19,28,28
15.3,1,5.04,0,0,91,49
34.67,1,9.63,0,24,92,37
13.7,2,6.35,0,41,60,79
6.5,1,1.27,0,20,68,68
4.5,3,1.23,0,17,0,47
4.9,1,0.98,0,7,47,47
7.3,1,2.19,0,45,60,68
7.5,1,1.62,1,24,0,0
16.5,6,3.73,0,28,91,47
11.5,6,3.37,1,35,68,60
6.9,2,0.92,1,47,47,0
3.7,1,0.84,1,45,47,60
10.1,2,1.2,0,42,50,70
16.5,1,5.4,0,38,28,0
7.7,1,1.49,1,42,68,28
24.9,1,12.5,0,6,60,59
8.5,1,1.93,0,46,68,92
5.7,1,1.57,0,15,91,50
8.5,1,1.49,0,3,19,19
17.0,1,5.9,0,37,0,28
12.0,1,1.65,0,26,92,28
12.5,1,5.12,0,3,83,91
6.9,5,1.75,0,27,60,68
5.0,2,0.59,0,7,68,60
7.7,1,2.22,0,45,91,28
11.0,2,1.99,0,30,50,19
9.0,1,2.23,0,7,19,91
13.5,1,3.21,1,38,19,50
9.0,1,1.49,1,10,92,92
14.0,1,3.5,1,49,68,0
10.0,1,2.44,0,26,60,92
